Country,Cases,year,month,day,quarter,date,year_month
Brunei,1.0,2020,11,24,4,2020-11-24 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,25,4,2020-11-25 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,26,4,2020-11-26 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,27,4,2020-11-27 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,28,4,2020-11-28 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,29,4,2020-11-29 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,30,4,2020-11-30 00:00:00+00:00,2020-11
Brunei,1.0,2020,12,1,4,2020-12-01 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,2,4,2020-12-02 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,3,4,2020-12-03 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,4,4,2020-12-04 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,5,4,2020-12-05 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,6,4,2020-12-06 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,7,4,2020-12-07 00:00:00+00:00,2020-12
Brunei,1.0,2020,12,8,4,2020-12-08 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,9,4,2020-12-09 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,10,4,2020-12-10 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,11,4,2020-12-11 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,12,4,2020-12-12 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,13,4,2020-12-13 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,14,4,2020-12-14 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,15,4,2020-12-15 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,16,4,2020-12-16 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,17,4,2020-12-17 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,18,4,2020-12-18 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,19,4,2020-12-19 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,20,4,2020-12-20 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,21,4,2020-12-21 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,22,4,2020-12-22 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,23,4,2020-12-23 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,24,4,2020-12-24 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,25,4,2020-12-25 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,26,4,2020-12-26 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,27,4,2020-12-27 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,28,4,2020-12-28 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,29,4,2020-12-29 00:00:00+00:00,2020-12
Brunei,5.0,2020,12,30,4,2020-12-30 00:00:00+00:00,2020-12
Brunei,0.0,2020,12,31,4,2020-12-31 00:00:00+00:00,2020-12
Brunei,0.0,2021,1,1,1,2021-01-01 00:00:00+00:00,2021-01
Brunei,0.0,2021,1,2,1,2021-01-02 00:00:00+00:00,2021-01
